,基金代码,基金简称,类型,2020-10-22-单位净值,2020-10-22-累计净值,2020-10-22-单位净值,2020-10-22-累计净值,增长值,增长率,市价,折价率
159,150177,鹏华证券保险分级A行情,固定收益,---,---,1.0130,1.3130,---,---,0.9860,---
160,159915,易方达创业板ETF行情,ETF-场内,---,---,2.6080,2.9877,---,---,2.5820,---
161,159933,国投瑞银金融地产ETF行情,ETF-场内,---,---,2.5073,2.5073,---,---,2.4860,---
162,512070,易方达沪深300非银ETF行情,ETF-场内,---,---,2.6132,2.6132,---,---,2.6180,---
163,150189,招商可转债分级债券B行情,分级杠杆,---,---,1.2580,2.0220,---,---,1.3790,---
164,150220,前海开源健康分级B行情,分级杠杆,---,---,1.1490,2.2290,---,---,1.0940,---
165,512310,南方中证500工业ETF行情,ETF-场内,---,---,0.6564,0.6564,---,---,0.6590,---
166,511220,海富通上证城投债ETF行情,ETF-场内,---,---,97.7610,1.2560,---,---,96.4850,---
167,512300,南方中证500医药卫生ETF行情,ETF-场内,---,---,1.6863,1.6863,---,---,1.6630,---
168,513600,南方恒指ETF行情,QDII-ETF,---,---,2.3470,1.2173,---,---,2.3420,---
169,513660,华夏沪港通恒生ETF行情,QDII-ETF,---,---,2.3853,1.2384,---,---,2.3830,---
170,502049,易方达上证50指数分级A行情,固定收益,---,---,1.0234,---,---,---,1.0100,---
171,502050,易方达上证50指数分级B行情,分级杠杆,---,---,1.3516,---,---,---,1.3420,---
172,510440,大成中证500沪市ETF行情,ETF-场内,---,---,1.9250,1.9250,---,---,1.8990,---
173,150190,新华中证环保产业指数分级A行情,固定收益,---,---,1.0040,1.4080,---,---,0.9830,---
174,150191,新华中证环保产业指数分级B行情,分级杠杆,---,---,1.0340,0.3050,---,---,1.0600,---
175,518880,华安黄金易ETF行情,ETF-场内,---,---,3.9716,1.4997,---,---,3.9700,---
176,159951,嘉实中关村A股ETF行情,ETF-场内,---,---,1.0054,1.0054,---,---,0.9920,---
177,512780,广发中证京津冀发展ETF行情,ETF-场内,---,---,0.8727,0.8727,---,---,0.8620,---
178,512860,华安MSCI中国ETF行情,ETF-场内,---,---,1.5749,1.5749,---,---,1.5610,---
179,512850,中信建投北京50ETF行情,ETF-场内,---,---,1.2732,1.2732,---,---,1.2730,---
180,512820,汇添富中证银行ETF行情,ETF-场内,---,---,1.1416,1.1416,---,---,1.1390,---
181,150232,申万菱信申万电子分级B行情,分级杠杆,---,---,0.9217,---,---,---,0.9900,---
182,150250,招商中证银行指数分级B行情,分级杠杆,---,---,1.2688,1.2688,---,---,1.2650,---
183,150252,招商中证煤炭等权指数分级B行情,分级杠杆,---,---,0.7826,0.2528,---,---,0.7690,---
184,150245,鹏华互联网分级A行情,固定收益,---,---,1.0130,1.2450,---,---,0.9970,---
185,150335,融通军工分级A行情,固定收益,---,---,1.0470,1.3230,---,---,1.0390,---
186,502025,鹏华钢铁分级B行情,分级杠杆,---,---,1.4680,0.3670,---,---,1.9190,---
187,510810,汇添富中证上海国企ETF行情,ETF-场内,---,---,0.9255,0.9555,---,---,0.9200,---
188,512100,南方中证1000ETF行情,ETF-场内,---,---,0.9494,0.9494,---,---,0.9450,---
189,150260,易方达重组分级B行情,分级杠杆,---,---,1.3014,---,---,---,1.2930,---
190,150316,富国中证工业4.0指数分级B行情,分级杠杆,---,---,0.8660,0.1080,---,---,0.9530,---
191,150318,交银中证互联网金融指数分级B行情,分级杠杆,---,---,0.9400,0.1410,---,---,1.3790,---
